"Story","Title","Result","Date","Stability","Duration (s)"
"Products","GET All Product","SUCCESS","2023-05-09T18:56:12.9337554+07:00[Asia/Jakarta]","0.0","2.05"
"Products","GET Product by id","SUCCESS","2023-05-09T18:56:15.0690373+07:00[Asia/Jakarta]","0.0","0.4"
"Products","Add new product","SUCCESS","2023-05-09T18:56:15.5667269+07:00[Asia/Jakarta]","0.0","0.88"
"Products","DELETE Product","SUCCESS","2023-05-09T18:56:16.5161667+07:00[Asia/Jakarta]","0.0","0.45"
"Products","GET products rating","SUCCESS","2023-05-09T18:56:17.0946214+07:00[Asia/Jakarta]","0.0","0.7"
"Products","POST As admin I have be able to create new products rating","SUCCESS","2023-05-09T18:56:17.8256643+07:00[Asia/Jakarta]","0.0","0.4"
"Products","GET products comment","SUCCESS","2023-05-09T18:56:18.2565131+07:00[Asia/Jakarta]","0.0","0.57"
"Products","POST As admin I have be able to create new products comment","SUCCESS","2023-05-09T18:56:19.0493923+07:00[Asia/Jakarta]","0.0","0.58"
